"Generation","N_breeders","Mean_P_soft","Var_P_soft","Mean_P_hard","Var_P_hard","Mean_G_soft","Var_G_soft","Mean_G_hard","Var_G_hard","Gen_cor","Allele_freq","N_recruits","Mean_S","RpS","replicate","repr.excess"
1,500,0.475461549988272,44.0692241331462,-0.103369159660808,49.0496394545425,0.308,10.6704769539078,0,12.3967935871743,0.0264847843585873,0,494,0.494,0.988,1,"low"
2,494,0.395233264083596,46.2558073999105,-0.415644236391563,44.720885232867,0.305668016194332,9.78264529321431,0.0587044534412955,11.1628753972621,-0.0172490256169898,0,498,0.504048582995951,1.0080971659919,1,"low"
3,498,-0.300833839655804,40.0345180020636,0.258604629057332,41.9970017175814,0.0963855421686747,10.9202685995491,0.0562248995983936,10.8378786776886,0.0683023321857167,0,536,0.538152610441767,1.07630522088353,1,"low"
4,500,-0.2849344680415,47.1951437447442,0.132260291117559,44.8965754272212,0.0354477611940298,11.9520121355838,0.460820895522388,10.690050913656,-0.0260867871688879,0,512,0.512,1.024,1,"low"
5,500,0.593343288575163,41.0036195400258,0.623591453818053,42.575711880071,0.69140625,11.6580081947162,0.603515625,11.1399484772505,0.00521269451523607,0,476,0.476,0.952,1,"low"
6,476,0.604634062261483,42.1588097653217,0.574044712287995,51.3026961965271,0.689075630252101,10.3157540911101,0.701680672268908,13.2581866430783,-0.110557747865498,0,503,0.528361344537815,1.05672268907563,1,"low"
7,500,0.718578446185325,47.1904072584888,0.708684404266423,45.4269120888045,0.799204771371769,9.82613482451902,0.79324055666004,11.2758904738897,-0.069242283026533,0,523,0.523,1.046,1,"low"
8,500,0.605027371460436,39.8733849432578,0.326364382549965,45.0696578684223,0.705544933078394,8.90929869673194,0.558317399617591,10.5305963971488,-0.0866311983664048,0,502,0.502,1.004,1,"low"
9,500,0.88982378650114,45.7508873483857,0.675181710113817,45.0228564479574,0.964143426294821,9.90689537260141,0.426294820717131,10.5883690785759,-0.0353378963015525,0,492,0.492,0.984,1,"low"
10,492,1.38891584813975,43.5855890915352,-0.041016651176134,50.2044560836449,1.34756097560976,9.79545228751677,0.563008130081301,9.66811964962827,-0.00235954528024267,0,519,0.527439024390244,1.05487804878049,1,"low"
11,500,1.4960798397186,45.4126412311941,1.1994372111294,43.9860389290978,1.17726396917148,9.73299558848692,0.990366088631985,10.0404475491181,-0.053139910304196,0,511,0.511,1.022,1,"low"
12,500,0.956262012577424,40.5496629633036,0.674395587148423,44.6210288886098,1.45205479452055,9.39328498522697,0.868884540117417,10.4239514984076,-0.0617673349308942,0,527,0.527,1.054,1,"low"
13,500,1.67916241382653,50.7488691098567,1.05525055307414,41.5778183895453,1.66982922201139,9.76910700499996,0.86527514231499,10.4247804849893,-0.0963495874042075,0,522,0.522,1.044,1,"low"
14,500,1.58712584002274,39.9976897784185,0.766295919024055,42.5463839835652,1.76819923371648,8.93081018671726,0.653256704980843,9.14441355777645,0.0522578821062371,0,519,0.519,1.038,1,"low"
15,500,2.14585819275179,44.0034613876308,0.805896096291016,39.8303374481784,1.99036608863198,9.98639349506402,0.757225433526012,8.48534827147544,0.12599431874666,0,517,0.517,1.034,1,"low"
16,500,2.53526610710804,43.5887547751768,0.68315236528043,47.7336227706123,2.15473887814313,9.79383893362122,0.601547388781431,9.63937744590887,-0.0123910262564936,0,508,0.508,1.016,1,"low"
