"Generation","N_breeders","Mean_P_soft","Var_P_soft","Mean_P_hard","Var_P_hard","Mean_G_soft","Var_G_soft","Mean_G_hard","Var_G_hard","Gen_cor","Allele_freq","N_recruits","Mean_S","RpS","replicate","Comp"
37,500,11.928217136371,58.3343716779755,-10.7181135276468,72.8589596411916,12.0095602294455,14.9251957832429,-10.697896749522,40.6403595525373,-0.0111628331794444,0.314285714285714,490,0.49,0.98,1,"intruders competitively superior"
38,500,12.3568095901714,54.0342166282513,-11.3905317533895,78.9981567788,12.2349514563107,13.5886592875222,-10.8194174757282,42.9731630841298,0.0966240571726128,0.346412556053812,446,0.446,0.892,1,"intruders competitively superior"
39,471,12.2909271638894,57.1484382916519,-11.0048708930501,70.4956248983297,12.3609341825902,13.1885982743823,-10.9660297239915,40.8839499480508,0.0293414589473401,0.37855579868709,457,0.485138004246285,0.970276008492569,1,"intruders competitively superior"
40,482,12.6914146478766,57.7134337152319,-11.341321583791,69.0615522570316,12.5435684647303,12.8931082375066,-10.9273858921162,38.5165457509856,0.0848949689806588,0.413943355119826,459,0.476141078838174,0.952282157676348,1,"intruders competitively superior"
41,484,12.9281742903207,58.5035012047022,-11.4665619256477,78.0792894461966,12.5909090909091,13.6873706004141,-11.4359504132231,41.2319140016768,0.0228931799483404,0.422489082969432,458,0.473140495867769,0.946280991735537,1,"intruders competitively superior"
42,483,12.5939547164904,55.4564419349662,-11.1539816954293,71.8147374601109,12.4347826086957,13.6777918094894,-11.3540372670807,40.6026133347079,0.0428168735760523,0.458997722095672,439,0.454451345755694,0.908902691511387,1,"intruders competitively superior"
43,464,12.2937691547293,55.7612509160091,-11.5705615445325,79.8243065743732,12.25,15.9676025917927,-11.8168103448276,42.8022222015342,0.0241859358432604,0.480132450331126,453,0.488146551724138,0.976293103448276,1,"intruders competitively superior"
44,478,11.617878139707,58.2308884119386,-11.8704896899199,69.4310180426864,12.3535564853556,16.1871047253142,-12.1401673640167,42.0453014394358,0.0456192592638935,0.492273730684327,453,0.473849372384937,0.947698744769874,1,"intruders competitively superior"
45,478,12.5434652474706,62.2701849320604,-12.7403113844188,74.407823806458,12.5857740585774,15.6687280159294,-12.8389121338912,38.5505162144856,0.0261782147698343,0.471698113207547,424,0.443514644351464,0.887029288702929,1,"intruders competitively superior"
46,449,12.0200199304985,58.0874663015808,-13.5918063775112,83.0155578105688,12.5122494432071,18.0138005090678,-13.2962138084633,40.2223293827553,0.0398976573359857,0.497578692493947,413,0.459910913140312,0.919821826280624,1,"intruders competitively superior"
47,438,12.4545938928386,58.7605298966816,-13.7283285445467,76.3079648830396,11.9657534246575,15.7722798658349,-12.9086757990868,38.3531968694816,0.0141765194458921,0.517333333333333,375,0.428082191780822,0.856164383561644,1,"intruders competitively superior"
48,400,11.9793271899383,61.0894159605936,-12.6848561113121,73.4522638733706,11.595,14.2165162907268,-12.8975,45.0345802005013,-0.0316362912130128,0.550546448087432,366,0.4575,0.915,1,"intruders competitively superior"
49,391,12.0346919276187,51.6709205201606,-13.7257152136273,86.3328775241062,12.1278772378517,12.6502721489934,-13.9820971867008,51.3766017443767,-0.0718021083861376,0.544378698224852,338,0.432225063938619,0.864450127877238,1,"intruders competitively superior"
50,363,11.9440492615725,48.3187110575016,-13.9395243563733,70.4284749588112,12.0055096418733,15.0828424881664,-14.0055096418733,46.7292513279454,0.0377724563894563,0.547761194029851,335,0.461432506887052,0.922865013774105,1,"intruders competitively superior"
51,360,12.038883257053,61.0755932285218,-14.591552429383,78.5922212946316,12.1388888888889,16.1700711853915,-14.3027777777778,45.5988780563293,-0.021015127577155,0.631410256410256,312,0.433333333333333,0.866666666666667,1,"intruders competitively superior"
52,337,12.1820552711204,63.0935078304564,-15.010455973109,77.5234194323097,12.0860534124629,12.9776918185672,-15.026706231454,45.7403560830861,-0.0474237948399502,0.629692832764505,293,0.434718100890208,0.869436201780415,1,"intruders competitively superior"
53,318,12.5244949008683,51.096996135941,-15.8384256531181,83.5590379240232,12.4245283018868,13.3996488304268,-15.185534591195,50.7194115429637,0.0382436057034732,0.642348754448399,281,0.441823899371069,0.883647798742138,1,"intruders competitively superior"
54,306,12.6948802288766,56.6962923970152,-15.9154645007131,85.024631446712,12.8954248366013,12.0414871959713,-15.9084967320261,46.2670095360549,-0.069602433805595,0.638339920948617,253,0.413398692810457,0.826797385620915,1,"intruders competitively superior"
55,278,12.5176948533809,45.8641977938897,-15.8626870518321,66.3855636911039,12.8920863309353,13.2662909383684,-15.9856115107914,42.6929330182064,-0.0601569101542164,0.682377049180328,244,0.438848920863309,0.877697841726619,1,"intruders competitively superior"
56,269,12.3864403635464,61.6633525060931,-15.9487458115805,68.9699837011844,12.4981412639405,16.4822726516118,-16.1672862453532,38.4084780558176,-0.0350855125121517,0.724137931034483,203,0.377323420074349,0.754646840148699,1,"intruders competitively superior"
57,228,11.5161878430932,48.6935694705074,-16.1648929051772,78.7288536580621,11.9210526315789,15.5620217945745,-16.3991228070175,47.8003516500502,-0.0431555222854388,0.687830687830688,189,0.414473684210526,0.828947368421053,1,"intruders competitively superior"
58,214,11.6764248455414,60.0371115700686,-16.5540518648653,68.4106285578401,11.7056074766355,17.4481374226668,-16.8785046728972,43.8631038567856,-0.0226295283780448,0.674285714285714,175,0.408878504672897,0.817757009345794,1,"intruders competitively superior"
59,200,10.9536646375995,51.6718427008703,-16.9559629134038,70.8508732506354,11.275,16.3712311557789,-17.335,45.2691206030151,-0.0599128929006861,0.616438356164384,146,0.365,0.73,1,"intruders competitively superior"
60,171,11.6998165094669,50.1580367085708,-18.5774002311764,72.6575076450779,11.6432748538012,18.8896456828345,-18.5204678362573,41.1804609563124,-0.00247786360765854,0.646153846153846,130,0.380116959064327,0.760233918128655,1,"intruders competitively superior"
61,155,12.0876373409935,76.4237477644715,-19.3582512359076,78.8013174368736,12.6129032258065,15.303728529535,-19.741935483871,40.9459572685379,0.0242500046061175,0.621212121212121,99,0.319354838709677,0.638709677419355,1,"intruders competitively superior"
62,124,12.6754159653171,58.8814343900852,-21.9133392792593,88.5400531322246,12.3145161290323,13.4693810647784,-21.4193548387097,42.034093889326,0.177453433118495,0.723300970873786,103,0.415322580645161,0.830645161290323,1,"intruders competitively superior"
