"Generation","N_breeders","Mean_P_soft","Var_P_soft","Mean_P_hard","Var_P_hard","Mean_G_soft","Var_G_soft","Mean_G_hard","Var_G_hard","Gen_cor","Allele_freq","N_recruits","Mean_S","RpS","replicate","repr.excess"
1,500,-0.100919356549993,50.9851935654926,-0.294363224999783,41.7318340438367,0.076,10.9360961923848,0.228,10.3326813627255,0.012505787809118,0,397,0.397,0.794,1,"moderate"
2,397,-0.0723415069120005,44.3045199694043,0.608002958584435,40.6486764355387,0.0780856423173804,9.70348319466707,0.780856423173804,9.1715517899397,0.0805170676375458,0,302,0.380352644836272,0.760705289672544,1,"moderate"
3,302,-0.0346825354223073,41.5251704113735,1.4026534518395,40.4955785199056,0.135761589403974,9.47320190974896,1.00662251655629,7.59464038194979,0.0539455027522974,0,260,0.43046357615894,0.860927152317881,1,"moderate"
4,260,0.884610828604322,45.6445188649685,1.5704861729181,38.1980182800448,0.519230769230769,11.3393970893971,1.71153846153846,9.18673893673894,0.251540854980316,0,208,0.4,0.8,1,"moderate"
5,208,0.228604992416074,45.6569960164118,1.89275910815771,43.7548847670693,0.610576923076923,11.7751532887402,2.12980769230769,9.80432460052025,-0.0357376391935625,0,181,0.435096153846154,0.870192307692308,1,"moderate"
6,181,1.32487622326287,41.2180822124839,1.93409092240892,47.8964469826027,0.983425414364641,8.96083486801719,3.05524861878453,10.0747084100675,0.216437865856283,0,152,0.419889502762431,0.839779005524862,1,"moderate"
7,152,1.70738298801197,38.3697952246074,3.17160486347515,44.1119456776599,1.36842105263158,9.53224119902405,3.66447368421053,8.51581561519693,0.051298225175475,0,120,0.394736842105263,0.789473684210526,1,"moderate"
8,120,1.4576715615154,45.8040519223752,4.44389389474846,39.7549833613185,1.51666666666667,10.2350140056022,4.45833333333333,5.88060224089636,0.150109755854157,0,112,0.466666666666667,0.933333333333333,1,"moderate"
9,112,1.51124271806536,36.2409327925848,5.0069212164546,39.9242290266175,1.64285714285714,8.03346203346203,4.80357142857143,8.46557271557272,0.349736768349199,0,112,0.5,1,1,"moderate"
10,112,2.25917432782283,35.2108038779474,4.59649989462024,42.0659151914924,1.61607142857143,7.08550514800515,4.97321428571429,6.71098777348777,0.00110816383054794,0,100,0.446428571428571,0.892857142857143,1,"moderate"
11,100,1.8882146236703,46.683229357762,5.64992998417754,40.3396555044375,1.1,7.76767676767677,5.58,6.1450505050505,-0.164917067658174,0,96,0.48,0.96,1,"moderate"
12,96,1.67199869297048,33.488790136942,5.83715926816833,55.6317332295166,1.5625,10.0171052631579,5.67708333333333,6.24199561403509,0.250848137135276,0,96,0.5,1,1,"moderate"
13,96,1.70347552967994,36.5602050875186,6.33780983235665,38.9888669178486,1.63541666666667,13.1814692982456,5.95833333333333,6.69298245614035,-0.0632721647962009,0,103,0.536458333333333,1.07291666666667,1,"moderate"
14,103,1.3012023936732,36.8007054110156,5.83438823490264,44.8167037877664,1.18446601941748,9.89701123167714,6.48543689320388,5.15419760137065,-0.210325572036276,0,100,0.485436893203884,0.970873786407767,1,"moderate"
15,100,1.01855298877695,40.2560094959287,5.80952844088523,37.6848248823306,1.21,13.3594949494949,6.52,4.7369696969697,-0.0900509313839864,0,97,0.485,0.97,1,"moderate"
16,97,2.10929006951962,49.3802884680734,5.00388891635899,41.5625487537725,1.67010309278351,9.8483676975945,6.23711340206186,4.18277491408935,0.3498953960817,0,80,0.412371134020619,0.824742268041237,1,"moderate"
17,80,1.72629804962496,47.7197525912372,7.58292458982279,41.8521487099511,1.0375,12.7200949367089,7.3,3.75696202531646,0.10638624053115,0,88,0.55,1.1,1,"moderate"
18,88,1.79563083542232,42.8607745097988,8.45557971889751,30.4783036752765,1.125,11.8807471264368,7.70454545454545,4.55538140020899,0.0753865409967451,0,105,0.596590909090909,1.19318181818182,1,"moderate"
19,105,0.971248837289127,46.9049843241936,8.1863152345544,45.0572451842142,1.05714285714286,8.70824175824176,7.81904761904762,5.66886446886447,0.0794918710332511,0,104,0.495238095238095,0.990476190476191,1,"moderate"
20,104,0.54213693470109,45.4954807178467,7.27152617234888,36.2447702536994,0.663461538461538,10.6526325616131,7.77884615384615,4.44576176250934,0.022938841303463,0,93,0.447115384615385,0.894230769230769,1,"moderate"
21,93,0.510713548673514,50.5232810272867,8.42509231753368,36.227235357178,0.741935483870968,11.0848527349229,7.52688172043011,4.55633473585788,0.187581418729823,0,87,0.467741935483871,0.935483870967742,1,"moderate"
22,87,0.472349789362814,50.5809620299676,7.39956823217768,32.7517309000838,0.103448275862069,11.0008019246191,7.49425287356322,5.27612937717188,0.02526241687471,0,91,0.522988505747126,1.04597701149425,1,"moderate"
23,91,-0.0165944475563467,29.2311091980698,8.12282073354513,34.0333441767638,0.538461538461538,5.65128205128205,7.8021978021978,5.24932844932845,0.0646525991596045,0,98,0.538461538461538,1.07692307692308,1,"moderate"
24,98,1.70565581084831,46.0974573795735,7.67465836409692,41.146053118911,1.28571428571429,9.69072164948454,7.97959183673469,5.5665895224069,0.0288748714364564,0,100,0.510204081632653,1.02040816326531,1,"moderate"
25,100,1.30296743569699,40.5395652592313,8.11464714265987,36.9703720886914,1.1,9.26262626262626,8.13,5.4879797979798,0.193668949755912,0,89,0.445,0.89,1,"moderate"
26,89,0.901454021757627,31.7650354429925,6.43494936689174,38.978972828896,1.08988764044944,8.8100102145046,7.57303370786517,6.40653728294178,0.0444935520894459,0,98,0.550561797752809,1.10112359550562,1,"moderate"
