"Generation","N_breeders","Mean_P_soft","Var_P_soft","Mean_P_hard","Var_P_hard","Mean_G_soft","Var_G_soft","Mean_G_hard","Var_G_hard","Gen_cor","Allele_freq","N_recruits","Mean_S","RpS","replicate","Comp"
1,500,-0.0599580066928113,55.305277832088,-0.0814795835152679,41.4789445131458,-0.092,14.0877114228457,0.122,11.3257675350701,-0.0725654972513863,0,543,0.543,1.086,1,"intruders competitively superior"
2,500,-0.305510349237686,61.7634900543167,-0.106915724691375,44.2088605565751,-0.239410681399632,14.2156395044613,0.213627992633518,11.6111054480711,-0.106877661816578,0,542,0.542,1.084,1,"intruders competitively superior"
3,500,-0.12019448438864,58.9893165860811,-0.658181816842322,42.0727659371339,-0.156826568265683,13.7517000770747,-0.197416974169742,10.6171467352381,-0.0925163238744671,0,552,0.552,1.104,1,"intruders competitively superior"
4,500,-0.248632599361747,55.172080451658,-0.207817254476806,42.1278986555927,0.0434782608695652,12.3211552118678,0.0289855072463768,9.75959388726689,-0.0507591607701603,0,563,0.563,1.126,1,"intruders competitively superior"
5,500,0.673354610682794,56.5222625288302,0.211892248292616,43.936031229213,0.476021314387211,12.6021820066623,0.0515097690941385,9.89947725390795,0.00496964064550427,0,538,0.538,1.076,1,"intruders competitively superior"
6,500,0.634786814702386,56.4504337405474,0.485928255082428,46.3245848962331,0.566914498141264,13.0094805923034,0.353159851301115,10.5715076876216,0.0700725079458845,0,581,0.581,1.162,1,"intruders competitively superior"
7,500,0.490341691434087,55.3015504208668,-0.0211357728104807,48.2820022146675,0.864027538726334,14.4487209923438,0.268502581755594,12.0760579262864,0.121155113957441,0,568,0.568,1.136,1,"intruders competitively superior"
8,500,1.66106418010625,60.6897235745305,0.544918003577836,46.4437637712594,1.52992957746479,13.9849932930919,0.205985915492958,10.036860049184,-0.0437659950323119,0,525,0.525,1.05,1,"intruders competitively superior"
9,500,2.25805403858543,53.2488747918853,0.518744238658604,39.6819299476607,2.10095238095238,12.9382624500182,0.281904761904762,10.3058742275536,-0.029573182285457,0,554,0.554,1.108,1,"intruders competitively superior"
10,500,2.04367788114193,59.4275366774509,0.184515245415017,42.3752778151386,2.32129963898917,12.7609559932368,0.153429602888087,9.8588761008219,0.0183290532326634,0,536,0.536,1.072,1,"intruders competitively superior"
11,500,2.81985534016944,51.7972074634279,-0.0389822172749117,43.5746237416309,2.72388059701493,12.2899707072116,0.223880597014925,8.71987724926768,-0.0516151999865184,0,537,0.537,1.074,1,"intruders competitively superior"
12,500,3.06009475600416,59.0151489483447,-0.0695879970048164,42.0054224542286,3.0633147113594,16.0034464548765,0.364990689013035,9.51951833013702,-0.0157819891873621,0,544,0.544,1.088,1,"intruders competitively superior"
13,500,3.20623015283815,52.0263763156155,0.182531787086622,47.8835598287104,3.29595588235294,13.825692638934,0.147058823529412,9.99675008124797,-0.0214102165302148,0,555,0.555,1.11,1,"intruders competitively superior"
14,500,3.10983167747456,62.0029560249599,0.0237562983062454,45.0945631666322,3.56576576576577,16.8814973818584,0.108108108108108,9.89442872475363,0.0713766610312998,0,550,0.55,1.1,1,"intruders competitively superior"
15,500,4.40645579179312,52.3512547053479,0.0709447841150248,48.2157013582133,4.13272727272727,13.1754297069051,0.0236363636363636,10.369203510515,0.0916753589788146,0,526,0.526,1.052,1,"intruders competitively superior"
16,500,4.39735418182943,56.6762162078146,-0.333929266035077,43.2815942436661,4.06083650190114,14.5639109179794,-0.0760456273764259,10.8323012855332,-0.049068742582254,0,555,0.555,1.11,1,"intruders competitively superior"
17,500,3.67586611425309,60.862543472502,0.272582843629926,45.7082634592423,4.13693693693694,14.6382541386151,-0.0972972972972973,12.4201190360035,-0.0275243608523389,0,545,0.545,1.09,1,"intruders competitively superior"
18,500,4.51304782460735,59.8038730008058,0.233859114391509,44.5512620623551,4.42018348623853,14.7771654074474,0.299082568807339,11.7394293038316,-0.0323082997415291,0,569,0.569,1.138,1,"intruders competitively superior"
19,500,4.16422487705904,52.1569241695573,-0.134959540970195,42.7005811517264,4.3286467486819,14.4428574964727,-0.054481546572935,10.3086462536201,-0.0845244804542174,0,549,0.549,1.098,1,"intruders competitively superior"
20,500,4.71052376297161,56.7162741068939,-0.493785636048955,41.3446732253928,4.63023679417122,15.8940475715634,-0.342440801457195,11.2803305279672,0.00756158932454087,0,558,0.558,1.116,1,"intruders competitively superior"
21,500,6.31755109351644,58.2688896579666,-4.53441866979566,156.36789315953,6.14741641337386,18.4363783986343,-4.76443768996961,119.979433549384,-0.516016805446786,0.144710578842315,501,0.501,1.002,1,"intruders competitively superior"
22,500,8.52663069483663,62.9482225432089,-8.18615513004181,172.849542514069,8.32445923460899,18.3928840820854,-8.80033277870216,137.96006655574,-0.525506263387147,0.264705882352941,476,0.476,0.952,1,"intruders competitively superior"
23,500,10.0904909866488,59.6237249700095,-11.8878194241209,165.13055082711,9.71354166666667,15.1751902173913,-11.921875,124.333016304348,-0.389333419110144,0.344907407407407,432,0.432,0.864,1,"intruders competitively superior"
24,500,10.1261995392881,61.9346493026842,-14.8850713229172,140.460971214823,9.96804511278195,16.3360767738555,-14.359022556391,105.273873242428,-0.337552608445329,0.438228438228438,429,0.429,0.858,1,"intruders competitively superior"
25,500,10.2158035924901,57.2057959673901,-15.5905357801868,129.610439300653,10.2400756143667,14.2547545397262,-15.5274102079395,92.0413874090623,-0.277540961431915,0.473067915690867,427,0.427,0.854,1,"intruders competitively superior"
26,500,11.128498485131,57.0069657360582,-17.2427041344621,107.102195013983,10.7495256166983,13.2071052878406,-17.3586337760911,70.534635392241,-0.229118972240165,0.501240694789082,403,0.403,0.806,1,"intruders competitively superior"
27,500,11.2292483095952,55.7455702931387,-18.0621873680233,104.697466378468,10.8091451292247,13.0152946860669,-17.9403578528827,69.2514158079412,-0.185936907652821,0.556451612903226,372,0.372,0.744,1,"intruders competitively superior"
28,472,10.2750582852732,54.9350730669163,-19.0291100481289,94.8743726243322,10.5529661016949,14.6978255784663,-19.0614406779661,64.5376183022059,-0.129872941507579,0.606382978723404,329,0.348516949152542,0.697033898305085,1,"intruders competitively superior"
29,429,10.3659588001306,60.2162639075132,-19.9543517465568,83.5767675781529,10.6596736596737,13.90727185587,-19.8508158508159,56.4730191926454,-0.275976115566502,0.660958904109589,292,0.34032634032634,0.680652680652681,1,"intruders competitively superior"
30,392,10.8487003357796,54.6809063519273,-21.9087554393823,84.5734164498368,10.4362244897959,15.4792982410355,-21.5561224489796,50.232136332794,-0.256802814770573,0.731517509727626,257,0.32780612244898,0.655612244897959,1,"intruders competitively superior"
31,357,10.9804511142689,63.9629915219367,-22.9510860969246,77.6971340107421,11.0868347338936,12.4446857394643,-23.2605042016807,42.2156548012463,-0.22156518962158,0.767241379310345,232,0.324929971988796,0.649859943977591,1,"intruders competitively superior"
32,332,10.9313490831007,54.2710112352092,-24.3592180482086,69.5022959462427,11.2590361445783,13.896443781167,-24.3614457831325,34.8840679940305,-0.169313693451166,0.825757575757576,198,0.298192771084337,0.596385542168675,1,"intruders competitively superior"
33,298,11.9943794610359,58.2308305489163,-25.8497058751831,63.6476984357126,11.4060402684564,12.5786839310329,-25.4697986577181,31.6169299256548,-0.0299101059428898,0.872611464968153,157,0.263422818791946,0.526845637583893,1,"intruders competitively superior"
34,257,10.9752740660416,63.9816830586403,-25.5037554612304,58.0608639830833,11.2801556420233,17.8274562256809,-26.0661478599222,30.272951118677,-0.0331647809665876,0.915441176470588,136,0.264591439688716,0.529182879377432,1,"intruders competitively superior"
35,236,11.9854974293245,58.6524053697042,-27.2076635267096,54.7976234748286,11.8050847457627,18.2171655247025,-27.0466101694915,24.7680310133429,-0.0867717517181547,0.947826086956522,115,0.24364406779661,0.48728813559322,1,"intruders competitively superior"
36,215,12.8691366445942,57.4782089339749,-27.9127575794044,56.2116665053253,12.3860465116279,12.7427950445555,-28,21.3364485981308,0.0490274057978885,0.983333333333333,90,0.209302325581395,0.418604651162791,1,"intruders competitively superior"
37,190,13.0362570773652,56.4221989506514,-28.0870929751754,43.0382772038068,12.9263157894737,13.0633249791145,-28.4473684210526,13.2432470064049,0.0863814824057838,0.989690721649485,97,0.255263157894737,0.510526315789474,1,"intruders competitively superior"
38,197,12.4992844623854,62.464555418561,-28.4333840648562,52.6540289230772,12.0812182741117,12.8913291204807,-28.4365482233503,17.3492696571014,0.012958776538895,0.99390243902439,82,0.208121827411168,0.416243654822335,1,"intruders competitively superior"
39,182,12.5054887402971,60.7148832811183,-29.20588357243,45.7384958436229,12.2417582417582,16.1511747920588,-28.489010989011,15.4335802319228,0.010328818370811,1,84,0.230769230769231,0.461538461538462,1,"intruders competitively superior"
40,184,12.4665632017855,56.0678059020251,-28.6752758586168,54.352885968511,11.8478260869565,15.4849132810644,-28.7663043478261,12.6281480161559,-0.0462896253596369,1,78,0.21195652173913,0.423913043478261,1,"intruders competitively superior"
41,178,12.1646005244902,54.1087176763627,-28.8840074559565,51.8104261805546,11.8988764044944,13.4247444931124,-29.247191011236,12.5487208785628,-0.141228067373077,1,67,0.188202247191011,0.376404494382022,1,"intruders competitively superior"
42,167,12.0089874773825,51.6165050046508,-28.9784461205538,44.081340707364,12.1197604790419,13.1662939181877,-29.5868263473054,9.96681336122935,-0.0769162066865563,1,61,0.182634730538922,0.365269461077844,1,"intruders competitively superior"
43,161,12.0885006376453,60.755088986182,-29.2964731716267,50.2613391741539,12.472049689441,17.0757763975155,-29.6149068322981,11.2882763975155,0.00843298701371596,1,61,0.18944099378882,0.37888198757764,1,"intruders competitively superior"
44,161,11.9175311099746,49.5184241000222,-30.206980471297,42.2021088959201,12.2298136645963,14.7406055900621,-29.7142857142857,10.7678571428571,0.0141030403395599,1,56,0.173913043478261,0.347826086956522,1,"intruders competitively superior"
45,156,12.1924923718757,56.2810161024109,-29.1256673136292,43.6722943003012,11.9679487179487,14.663482216708,-29.3397435897436,10.3935070306038,0.0957930913968623,1,62,0.198717948717949,0.397435897435897,1,"intruders competitively superior"
46,162,11.7616416196888,56.8824325993149,-29.1119929041362,52.0716163483212,11.8271604938272,11.6469595889886,-29.5123456790123,11.6675485008818,0.074410189369429,1,68,0.209876543209877,0.419753086419753,1,"intruders competitively superior"
